$BUILT 2014-04-18 03:53:10
$AUTHOR Amanda
$GERMAN 
$ENGLISH Another Tribute To Clam Spammer?

#SIZE_X 960
#SIZE_Y 560
#TORUS_X 0
#TORUS_Y 0
#BACKGROUND_RED 128
#BACKGROUND_GREEN 64
#BACKGROUND_BLUE 128

#SECONDS 40
#INITIAL 120
#REQUIRED 20
#SPAWN_INTERVAL 12
#SPAWN_INTERVAL_FAST 4

#WALKER 100
#EXPLODER2 -1
#FLOATER 10
#JUMPER 99
#BLOCKER 70
#BATTER -1
#BUILDER 50
#PLATFORMER 200
#MINER 100
#BASHER 10
#DIGGER 20
#CUBER 40

:amanda/occult/hatch_tentacle.H: 136 42
:amanda/occult/hatch_tentacle.H: 720 32

:amanda/occult/occult_goal_skull.G: 810 337
:amanda/occult/occult_goal_skull.G: 6 304

:Beach-s2: 448 384
:Beach-s2: 496 400
:Beach-s2: 464 400
:Beach-s2: 640 352
:Beach-s2: 672 128
:Beach-s2: 592 128
:Beach-s2: 544 112
:Beach-s2: 496 144
:Beach-s2: 352 160
:Beach-s2: 256 128
:Beach-s2: 224 160
:Beach-s2: 288 192
:Beach-s2: 400 176
:Beach-s2: 480 176
:Beach-s2: 544 192
:Beach-s2: 576 208
:Beach-s2: 400 176
:Beach-s2: 336 176
:Beach-s2: 288 160
:Beach-s2: 256 224
:Beach-s2: 192 224
:Beach-s2: 448 112
:Beach-s2: 240 192
:Beach-s2: 256 176
:Beach-s2: 320 160
:Beach-s2: 384 160
:Beach-s2: 448 160
:Beach-s2: 480 160
:Beach-s2: 496 176
:Beach-s2: 496 128
:Beach-s2: 544 160
:Beach-s2: 704 176
:Beach-s2: 656 160
:Beach-s2: 592 112
:Beach-s2: 544 112
:Beach-s2: 480 112
:Beach-s2: 464 144
:Beach-s2: 576 208
:Beach-s2: 480 160
:Beach-s2: 384 144
:Beach-s2: 272 160
:Beach-s2: 304 208
:Beach-s2: 672 160
:Beach-s2: 704 192
:Beach-s2: 704 208
:Beach-s2: 656 192
:Beach-s2: 592 176
:Beach-s2: 496 160
:Beach-s2: 464 176
:Beach-s2: 400 112
:Beach-s2: 368 192
:Beach-s2: 208 208
:Beach-s2: 320 208
:Beach-s2: 400 192
:Beach-s2: 512 192
:Beach-s2: 560 208
:Beach-s2: 672 240
:Beach-s2: 624 224
:Beach-s2: 544 192
:Beach-s2: 576 176
:Beach-s2: 608 160
:Beach-s2: 640 160
:Beach-s2: 672 160
:Beach-s2: 576 160
:Beach-s2: 592 176
:Beach-s2: 624 176
:Beach-s2: 640 176
:Beach-s2: 576 192
:Beach-s2: 608 192
:Beach-s2: 624 192
:Beach-s2: 640 192
:Beach-s2: 672 192
:Beach-s2: 528 112
:Beach-s2: 560 112
:Beach-s2: 592 112
:Beach-s2: 496 112
:Beach-s2: 512 128
:Beach-s2: 544 128
:Beach-s2: 560 128
:Beach-s2: 496 144
:Beach-s2: 528 144
:Beach-s2: 544 144
:Beach-s2: 560 144
:Beach-s2: 592 144
:Beach-s2: 400 112
:Beach-s2: 432 112
:Beach-s2: 464 112
:Beach-s2: 368 112
:Beach-s2: 384 128
:Beach-s2: 416 128
:Beach-s2: 432 128
:Beach-s2: 368 144
:Beach-s2: 400 144
:Beach-s2: 416 144
:Beach-s2: 432 144
:Beach-s2: 464 144
:Beach-s2: 256 128
:Beach-s2: 288 128
:Beach-s2: 320 128
:Beach-s2: 224 128
:Beach-s2: 240 144
:Beach-s2: 272 144
:Beach-s2: 288 144
:Beach-s2: 224 160
:Beach-s2: 256 160
:Beach-s2: 272 160
:Beach-s2: 288 160
:Beach-s2: 320 160
:Beach-s2: 192 176
:Beach-s2: 224 176
:Beach-s2: 256 176
:Beach-s2: 160 176
:Beach-s2: 176 192
:Beach-s2: 208 192
:Beach-s2: 224 192
:Beach-s2: 160 208
:Beach-s2: 192 208
:Beach-s2: 208 208
:Beach-s2: 224 208
:Beach-s2: 256 208
:Beach-s2: 288 176
:Beach-s2: 320 176
:Beach-s2: 352 176
:Beach-s2: 256 176
:Beach-s2: 272 192
:Beach-s2: 304 192
:Beach-s2: 320 192
:Beach-s2: 256 208
:Beach-s2: 288 208
:Beach-s2: 304 208
:Beach-s2: 320 208
:Beach-s2: 352 208
:Beach-s2: 416 160
:Beach-s2: 448 160
:Beach-s2: 480 160
:Beach-s2: 384 160
:Beach-s2: 400 176
:Beach-s2: 432 176
:Beach-s2: 448 176
:Beach-s2: 384 192
:Beach-s2: 416 192
:Beach-s2: 432 192
:Beach-s2: 448 192
:Beach-s2: 480 192
:Beach-s2: 496 176
:Beach-s2: 528 176
:Beach-s2: 560 176
:Beach-s2: 464 176
:Beach-s2: 480 192
:Beach-s2: 512 192
:Beach-s2: 528 192
:Beach-s2: 464 208
:Beach-s2: 496 208
:Beach-s2: 512 208
:Beach-s2: 528 208
:Beach-s2: 560 208
:Beach-s2: 512 64
:Beach-s2: 448 144
:Beach-s2: 480 144
:Beach-s2: 512 144
:Beach-s2: 544 144
:Beach-s2: 432 160
:Beach-s2: 464 160
:Beach-s2: 496 160
:Beach-s2: 528 160
:Beach-s2: 480 160
:Beach-s2: 512 160
:Beach-s2: 544 160
:Beach-s2: 576 160
:Beach-s2: 464 176
:Beach-s2: 496 176
:Beach-s2: 528 176
:Beach-s2: 560 176
:Beach-s2: 512 160
:Beach-s2: 544 160
:Beach-s2: 576 160
:Beach-s2: 608 160
:Beach-s2: 496 176
:Beach-s2: 528 176
:Beach-s2: 560 176
:Beach-s2: 592 176
:Beach-s2: 544 176
:Beach-s2: 576 176
:Beach-s2: 608 176
:Beach-s2: 640 176
:Beach-s2: 528 192
:Beach-s2: 560 192
:Beach-s2: 592 192
:Beach-s2: 624 192
:Beach-s2: 592 192
:Beach-s2: 624 192
:Beach-s2: 656 192
:Beach-s2: 688 192
:Beach-s2: 576 208
:Beach-s2: 608 208
:Beach-s2: 640 208
:Beach-s2: 672 208
:Beach-s2: 640 208
:Beach-s2: 672 208
:Beach-s2: 704 208
:Beach-s2: 736 208
:Beach-s2: 624 224
:Beach-s2: 656 224
:Beach-s2: 688 224
:Beach-s2: 720 224
:Beach-s2: 608 160
:Beach-s2: 640 160
:Beach-s2: 672 160
:Beach-s2: 704 160
:Beach-s2: 592 176
:Beach-s2: 624 176
:Beach-s2: 656 176
:Beach-s2: 688 176
:Beach-s2: 560 128
:Beach-s2: 592 128
:Beach-s2: 624 128
:Beach-s2: 656 128
:Beach-s2: 544 144
:Beach-s2: 576 144
:Beach-s2: 608 144
:Beach-s2: 640 144
:Beach-s2: 224 128
:Beach-s2: 256 128
:Beach-s2: 288 128
:Beach-s2: 320 128
:Beach-s2: 208 144
:Beach-s2: 240 144
:Beach-s2: 272 144
:Beach-s2: 304 144
:Beach-s2: 192 160
:Beach-s2: 224 160
:Beach-s2: 256 160
:Beach-s2: 288 160
:Beach-s2: 176 176
:Beach-s2: 208 176
:Beach-s2: 240 176
:Beach-s2: 272 176
:Beach-s2: 176 176
:Beach-s2: 208 176
:Beach-s2: 240 176
:Beach-s2: 272 176
:Beach-s2: 160 192
:Beach-s2: 192 192
:Beach-s2: 224 192
:Beach-s2: 256 192
:Beach-s2: 192 208
:Beach-s2: 224 208
:Beach-s2: 256 208
:Beach-s2: 288 208
:Beach-s2: 176 224
:Beach-s2: 208 224
:Beach-s2: 240 224
:Beach-s2: 272 224
:Beach-s2: 288 176
:Beach-s2: 320 176
:Beach-s2: 352 176
:Beach-s2: 384 176
:Beach-s2: 272 192
:Beach-s2: 304 192
:Beach-s2: 336 192
:Beach-s2: 368 192
:Beach-s2: 400 192
:Beach-s2: 432 192
:Beach-s2: 464 192
:Beach-s2: 496 192
:Beach-s2: 384 208
:Beach-s2: 416 208
:Beach-s2: 448 208
:Beach-s2: 480 208
:Beach-s2: 224 352
:Beach-s2: 256 352
:Beach-s2: 288 368
:Beach-s2: 320 368
:Beach-s2: 208 368
:Beach-s2: 240 368
:Beach-s2: 272 368
:Beach-s2: 304 368
:Beach-s2: 432 384
:Beach-s2: 464 384
:Beach-s2: 496 400
:Beach-s2: 528 384
:Beach-s2: 416 400
:Beach-s2: 448 400
:Beach-s2: 480 400
:Beach-s2: 512 400
:Beach-s2: 688 336
:Beach-s2: 656 336
:Beach-s2: 688 336
:Beach-s2: 640 208
:Beach-s2: 672 208
:Beach-s2: 704 208
:Beach-s2: 736 208
:Beach-s2: 624 224
:Beach-s2: 656 224
:Beach-s2: 688 224
:Beach-s2: 720 224
:Beach-s2: 528 112
:Beach-s2: 560 112
:Beach-s2: 592 112
:Beach-s2: 624 112
:Beach-s2: 512 128
:Beach-s2: 544 128
:Beach-s2: 576 128
