$BUILT 2014-06-11 14:05:46
$AUTHOR 
$GERMAN 
$ENGLISH 

#SIZE_X 1536
#SIZE_Y 640
#TORUS_X 1
#TORUS_Y 1
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 30
#REQUIRED 20
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/abstract/hatch.H: 928 96
:geoo/abstract/hatch.H: 1312 256
:geoo/abstract/hatch.H: 160 416
:geoo/abstract/hatch.H: 544 576

:geoo/abstract/goal.G: 1392 16
:geoo/abstract/goal.G: 240 176
:geoo/abstract/goal.G: 624 336
:geoo/abstract/goal.G: 1008 496

:matt/marble/05d: 800 96
:matt/marble/05b: 800 64
:matt/marble/05b: 896 160
:matt/marble/05b: 960 160
:matt/marble/05d: 864 160
:matt/marble/05d: 896 192
:matt/marble/05d: 928 160
:matt/marble/05d: 960 192
:matt/marble/05d: 992 160
:matt/marble/05d: 1056 96
:matt/marble/05d: 1024 64
:matt/marble/05b: 928 256
:matt/marble/05d: 896 256
:matt/marble/05d: 928 224
:matt/marble/05d: 960 256
:matt/marble/17d: 832 256
:matt/marble/17d: 800 224
:matt/marble/15d: 1024 256
:matt/marble/15d: 1056 224
:geoo/steel/32x32o.S: 864 192
:geoo/steel/32x32o.S: 896 224
:geoo/steel/32x32o.S: 960 224
:geoo/steel/32x32o.S: 992 192
:geoo/steel/32x32o.S: 1024 224
:geoo/steel/32x32o.S: 832 224
:geoo/steel/32x32o.S: 1056 192
:geoo/steel/32x32o.S: 800 192
:matt/marble/05b: 928 192
:matt/marble/05_2: 864 288
:matt/marble/05_2: 992 288
:matt/marble/05b: 960 288
:matt/marble/05b: 896 288
:matt/marble/05_2: 960 320
:matt/marble/05_2: 896 320
:matt/marble/05_2: 864 352
:matt/marble/05_2: 992 352
:matt/marble/05b: 992 320
:matt/marble/05b: 864 320
:matt/marble/05b: 896 352
:matt/marble/05b: 864 384
:matt/marble/05b: 896 416
:geoo/steel/32x32o.S: 928 480
:geoo/steel/32x32o.S: 960 512
:geoo/steel/32x32o.S: 1024 576
:geoo/steel/dark_32x32o.S: 1024 544
:geoo/steel/dark_32x32o.S: 960 544
:geoo/steel/dark_32x32o.S: 928 512
:geoo/steel/dark_32x32o.S: 896 480
:geoo/steel/dark_32x32o.S: 864 448
:geoo/steel/32x32o.S: 896 448
:geoo/steel/32x32o.S: 864 416
:geoo/steel/32x32o.S: 960 352
:geoo/steel/32x32o.S: 992 384
:geoo/steel/dark_32x32o.S: 960 384
:geoo/steel/dark_32x32o.S: 992 416
:geoo/steel/32x32o.S: 1056 544
:geoo/steel/dark_32x32o.S: 1088 544
:geoo/steel/dark_32x32o.S: 1056 576
:geoo/steel/32x32o.S: 1056 384
:geoo/steel/32x32o.S: 1088 416
:geoo/steel/dark_32x32o.S: 1088 384
:geoo/steel/dark_32x32o.S: 1056 416
:geoo/steel/32x32o.S: 992 544
:geoo/steel/32x32o.S: 1024 416
:geoo/steel/dark_32x32o.S: 1024 384
:geoo/steel/dark_32x32o.S: 992 576
:geoo/steel/dark_32x32o.S: 1024 192
:geoo/steel/32x32o.S: 1024 160
:geoo/steel/dark_32x32o.S: 1056 160
:geoo/steel/32x32o.S: 1056 128
:geoo/steel/dark_32x32o.S: 832 192
:geoo/steel/32x32o.S: 832 160
:matt/marble/05b: 832 96
:matt/marble/05d: 832 128
:geoo/steel/dark_32x32o.S: 864 224
:geoo/steel/32x32o.S: 864 256
:matt/marble/05_2: 928 288
:matt/marble/05b: 928 320
:matt/marble/05_2: 928 352
:geoo/steel/32x32o.S: 800 416
:geoo/steel/dark_32x32o.S: 800 384
:geoo/steel/dark_32x32o.S: 768 416
:geoo/steel/dark_32x32o.S: 832 416
:geoo/steel/32x32o.S: 832 384
:matt/marble/05b: 1024 96
:matt/marble/05d: 1024 128
:geoo/steel/dark_32x32o.S: 992 224
:geoo/steel/32x32o.S: 992 256
:matt/marble/05_2: 864 608
:matt/marble/05_2: 992 608
:matt/marble/05_2: 960 0
:matt/marble/05_2: 896 0
:matt/marble/05_2: 928 608
:matt/marble/05_2: 896 576
:matt/marble/05_2: 864 544
:matt/marble/05_2: 864 480
:matt/marble/05_2: 896 512
:matt/marble/05_2: 928 544
:matt/marble/05_2: 960 576
:matt/marble/05_2: 896 384
:matt/marble/05_2: 928 32
:matt/marble/05b: 864 512
:matt/marble/05b: 896 544
:matt/marble/05b: 928 576
:matt/marble/05b: 960 608
:matt/marble/05b: 928 0
:matt/marble/05b: 896 608
:matt/marble/05b: 864 576
:matt/marble/05d: 1184 256
:matt/marble/05b: 1184 224
:matt/marble/05b: 1280 320
:matt/marble/05b: 1344 320
:matt/marble/05d: 1248 320
:matt/marble/05d: 1280 352
:matt/marble/05d: 1312 320
:matt/marble/05d: 1344 352
:matt/marble/05d: 1376 320
:matt/marble/05d: 1440 256
:matt/marble/05d: 1408 224
:matt/marble/05b: 1312 416
:matt/marble/05d: 1280 416
:matt/marble/05d: 1312 384
:matt/marble/05d: 1344 416
:matt/marble/17d: 1216 416
:matt/marble/17d: 1184 384
:matt/marble/15d: 1408 416
:matt/marble/15d: 1440 384
:geoo/steel/32x32o.S: 1248 352
:geoo/steel/32x32o.S: 1280 384
:geoo/steel/32x32o.S: 1344 384
:geoo/steel/32x32o.S: 1376 352
:geoo/steel/32x32o.S: 1408 384
:geoo/steel/32x32o.S: 1216 384
:geoo/steel/32x32o.S: 1440 352
:geoo/steel/32x32o.S: 1184 352
:matt/marble/05b: 1312 352
:matt/marble/05_2: 1248 448
:matt/marble/05_2: 1376 448
:matt/marble/05b: 1344 448
:matt/marble/05b: 1280 448
:matt/marble/05_2: 1344 480
:matt/marble/05_2: 1280 480
:matt/marble/05_2: 1248 512
:matt/marble/05_2: 1376 512
:matt/marble/05b: 1376 480
:matt/marble/05b: 1248 480
:matt/marble/05b: 1280 512
:matt/marble/05b: 1248 544
:matt/marble/05b: 1280 576
:geoo/steel/32x32o.S: 1312 0
:geoo/steel/32x32o.S: 1344 32
:geoo/steel/32x32o.S: 1408 96
:geoo/steel/dark_32x32o.S: 1408 64
:geoo/steel/dark_32x32o.S: 1344 64
:geoo/steel/dark_32x32o.S: 1312 32
:geoo/steel/dark_32x32o.S: 1280 0
:geoo/steel/dark_32x32o.S: 1248 608
:geoo/steel/32x32o.S: 1280 608
:geoo/steel/32x32o.S: 1248 576
:geoo/steel/32x32o.S: 1344 512
:geoo/steel/32x32o.S: 1376 544
:geoo/steel/dark_32x32o.S: 1344 544
:geoo/steel/dark_32x32o.S: 1376 576
:geoo/steel/32x32o.S: 1440 64
:geoo/steel/dark_32x32o.S: 1472 64
:geoo/steel/dark_32x32o.S: 1440 96
:geoo/steel/32x32o.S: 1440 544
:geoo/steel/32x32o.S: 1472 576
:geoo/steel/dark_32x32o.S: 1472 544
:geoo/steel/dark_32x32o.S: 1440 576
:geoo/steel/32x32o.S: 1376 64
:geoo/steel/32x32o.S: 1408 576
:geoo/steel/dark_32x32o.S: 1408 544
:geoo/steel/dark_32x32o.S: 1376 96
:geoo/steel/dark_32x32o.S: 1408 352
:geoo/steel/32x32o.S: 1408 320
:geoo/steel/dark_32x32o.S: 1440 320
:geoo/steel/32x32o.S: 1440 288
:geoo/steel/dark_32x32o.S: 1216 352
:geoo/steel/32x32o.S: 1216 320
:matt/marble/05b: 1216 256
:matt/marble/05d: 1216 288
:geoo/steel/dark_32x32o.S: 1248 384
:geoo/steel/32x32o.S: 1248 416
:matt/marble/05_2: 1312 448
:matt/marble/05b: 1312 480
:matt/marble/05_2: 1312 512
:geoo/steel/32x32o.S: 1184 576
:geoo/steel/dark_32x32o.S: 1184 544
:geoo/steel/dark_32x32o.S: 1152 576
:geoo/steel/dark_32x32o.S: 1216 576
:geoo/steel/32x32o.S: 1216 544
:matt/marble/05b: 1408 256
:matt/marble/05d: 1408 288
:geoo/steel/dark_32x32o.S: 1376 384
:geoo/steel/32x32o.S: 1376 416
:matt/marble/05_2: 1248 128
:matt/marble/05_2: 1376 128
:matt/marble/05_2: 1344 160
:matt/marble/05_2: 1280 160
:matt/marble/05_2: 1312 128
:matt/marble/05_2: 1280 96
:matt/marble/05_2: 1248 64
:matt/marble/05_2: 1248 0
:matt/marble/05_2: 1280 32
:matt/marble/05_2: 1312 64
:matt/marble/05_2: 1344 96
:matt/marble/05_2: 1280 544
:matt/marble/05_2: 1312 192
:matt/marble/05b: 1248 32
:matt/marble/05b: 1280 64
:matt/marble/05b: 1312 96
:matt/marble/05b: 1344 128
:matt/marble/05b: 1312 160
:matt/marble/05b: 1280 128
:matt/marble/05b: 1248 96
:matt/marble/05b: 1184 288
:matt/marble/05d: 1184 320
:matt/marble/05b: 800 128
:matt/marble/05d: 800 160
:matt/marble/05_2: 96 32
:matt/marble/05_2: 224 32
:matt/marble/05b: 128 32
:matt/marble/05b: 96 64
:matt/marble/05b: 128 96
:geoo/steel/32x32o.S: 160 160
:geoo/steel/32x32o.S: 192 192
