$BUILT 2014-04-07 19:53:39
$AUTHOR Amanda
$GERMAN 1-1
$ENGLISH 1-1

#SIZE_X 640
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#BACKGROUND_RED 96
#BACKGROUND_GREEN 144
#BACKGROUND_BLUE 224

#SECONDS 40
#INITIAL 60
#REQUIRED 40
#SPAWN_INTERVAL 32
#SPAWN_INTERVAL_FAST 4

#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:geoo/abstract/hatch.H: 80 288

:simon/tapir/goal.G: 556 320

:geoo/construction/squarebrickx24_dedicated_to_ccx: 0 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 24 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 72 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 0 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 24 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 48 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 72 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 96 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 120 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 144 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 168 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 96 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 120 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 144 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 168 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 192 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 216 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 240 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 264 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 192 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 216 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 240 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 264 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 288 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 312 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 336 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 360 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 288 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 312 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 336 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 360 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 384 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 384 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 408 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 432 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 456 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 480 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 408 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 432 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 456 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 480 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 504 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 528 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 552 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 504 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 528 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 552 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 576 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 600 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 624 368
:geoo/construction/squarebrickx24_dedicated_to_ccx: 600 392
:geoo/construction/squarebrickx24_dedicated_to_ccx: 624 392
:amanda/steel/steel24x16.S: 576 368
:amanda/steel/steel24x8.S: 576 384
:proxima/tile/cyan2s: 311 320
:proxima/tile/cyan3: 320 336
:proxima/tile/cyan2s: 328 320
:amanda/steel/steel24x16.S: 48 368
:amanda/steel/steel24x8.S: 48 384
