$BUILT 2014-05-19 02:37:59
$AUTHOR Amanda
$GERMAN 
$ENGLISH Let's Have a Tea Party! (2p)

#SIZE_X 1376
#SIZE_Y 720
#TORUS_X 0
#TORUS_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 30
#INITIAL 30
#REQUIRED 20
#SPAWN_INTERVAL 22
#SPAWN_INTERVAL_FAST 4

#BATTER 40
#RUNNER 10
#PLATFORMER 40
#BUILDER 15
#MINER -1
#JUMPER 10
#CLIMBER 10
#WALKER 100
#BLOCKER 20
#FLOATER 2
#NOTHING 0
#NOTHING 0

:geoo/abstract/hatch.H: 139 292
:geoo/abstract/hatch.H: 1205 292 r

:geoo/abstract/goal.G: 1040 624
:geoo/abstract/goal.G: 304 624

:matt/underworld/03: 118 390
:matt/underworld/03: 130 388
:matt/underworld/03: 146 398
:matt/underworld/03: 166 388
:matt/underworld/03: 184 396
:matt/underworld/03: 206 384
:matt/underworld/03: 224 388
:matt/underworld/03: 250 390
:matt/underworld/03: 278 388
:matt/underworld/03: 304 394
:matt/underworld/03: 332 394
:matt/underworld/03: 360 390
:matt/underworld/03: 386 398
:matt/underworld/03: 416 394
:matt/underworld/03: 440 396
:matt/underworld/03: 464 394
:matt/underworld/03: 490 392
:matt/underworld/03: 122 414
:matt/underworld/03: 154 416
:matt/underworld/03: 178 416
:matt/underworld/03: 204 416
:matt/underworld/03: 128 426
:matt/underworld/03: 238 410
:matt/underworld/03: 272 420
:matt/underworld/03: 258 416
:matt/underworld/03: 298 416
:matt/underworld/03: 276 426
:matt/underworld/03: 326 418
:matt/underworld/03: 350 414
:matt/underworld/03: 376 412
:matt/underworld/03: 396 416
:matt/underworld/03: 420 422
:matt/underworld/03: 446 416
:matt/underworld/03: 470 426
:proxima/tile/spheres/pinksmall: 484 418
:matt/underworld/03: 490 428
:proxima/tile/spheres/pinksmall: 146 426
:matt/underworld/03: 118 444
:proxima/tile/spheres/cyansmall: 186 426
:matt/underworld/03: 148 440
:matt/underworld/03: 180 448
:matt/underworld/03: 214 434
:proxima/tile/spheres/pinksmall: 238 436
:matt/underworld/03: 246 438
:matt/underworld/03: 276 452
:proxima/tile/spheres/pinksmall: 314 422
:matt/underworld/03: 296 432
:proxima/tile/spheres/cyansmall: 304 438
:matt/underworld/03: 306 452
:matt/underworld/03: 324 438
:proxima/tile/spheres/pinksmall: 394 430
:matt/underworld/03: 348 448
:matt/underworld/03: 374 444
:matt/underworld/03: 400 452
:matt/underworld/03: 432 450
:proxima/tile/spheres/cyansmall: 450 456
:matt/underworld/03: 462 454
:matt/underworld/03: 122 466
:matt/underworld/03: 142 470
:matt/underworld/03: 180 470
:matt/underworld/03: 208 464
:matt/underworld/03: 238 464
:matt/underworld/03: 262 470
:matt/underworld/03: 296 468
:matt/underworld/03: 328 464
:matt/underworld/03: 362 466
:matt/underworld/03: 384 472
:matt/underworld/03: 404 476
:matt/underworld/03: 428 478
:matt/underworld/03: 490 456
:matt/underworld/03: 458 478
:matt/underworld/03: 108 500
:matt/underworld/03: 138 492
:proxima/tile/spheres/cyansmall: 130 506
:proxima/tile/spheres/pinksmall: 164 482
:proxima/tile/spheres/greensmall: 172 500
:matt/underworld/03: 160 502
:proxima/tile/spheres/cyansmall: 246 484
:matt/underworld/03: 190 502
:matt/underworld/03: 218 492
:matt/underworld/03: 240 506
:proxima/tile/spheres/pinksmall: 302 486
:matt/underworld/03: 274 498
:matt/underworld/03: 304 500
:proxima/tile/spheres/cyansmall: 364 478
:matt/underworld/03: 336 492
:matt/underworld/03: 368 494
:proxima/tile/spheres/pinksmall: 422 490
:matt/underworld/03: 388 500
:matt/underworld/03: 424 508
:matt/underworld/03: 492 484
:matt/underworld/03: 456 510
:matt/underworld/03: 118 522
:matt/underworld/03: 146 528
:matt/underworld/03: 184 528
:matt/underworld/03: 216 522
:matt/underworld/03: 252 528
:matt/underworld/03: 294 522
:matt/underworld/03: 326 522
:matt/underworld/03: 356 522
:matt/underworld/03: 386 526
:proxima/tile/spheres/cyansmall: 408 536
:matt/underworld/03: 424 534
:matt/underworld/03: 492 516
:matt/underworld/03: 462 534
:matt/underworld/03: 116 550
:proxima/tile/spheres/pinksmall: 166 532
:matt/underworld/03: 150 544
:proxima/tile/spheres/cyansmall: 202 534
:matt/underworld/03: 174 548
:matt/underworld/03: 202 546
:proxima/tile/spheres/pinksmall: 258 534
:matt/underworld/03: 232 548
:proxima/tile/spheres/cyansmall: 310 536
:matt/underworld/03: 272 546
:matt/underworld/03: 304 550
:proxima/tile/spheres/pinksmall: 358 530
:matt/underworld/03: 336 540
:matt/underworld/03: 362 544
:matt/underworld/03: 390 552
:matt/underworld/03: 428 558
:proxima/tile/spheres/pinksmall: 472 536
:matt/underworld/03: 490 546
:matt/underworld/03: 468 558
:matt/underworld/02: 528 480 d
:proxima/tile/spheres/goldsmall: 120 562
:proxima/tile/spheres/goldsmall: 136 562
:proxima/tile/spheres/goldsmall: 152 562
:proxima/tile/spheres/goldsmall: 168 562
:proxima/tile/spheres/goldsmall: 184 562
:proxima/tile/spheres/goldsmall: 200 562
:proxima/tile/spheres/goldsmall: 216 562
:proxima/tile/spheres/goldsmall: 232 562
:matt/underworld/02: 144 576 rrrd
:matt/underworld/00: 128 576 rrrd
:matt/underworld/00: 112 576 rrrd
:matt/underworld/02: 64 496 d
:geoo/abstract/cvblocks/003: 520 400 d
:geoo/abstract/cvblocks/003: 128 400 frrd
:proxima/tile/spheres/goldsmall: 248 562
:proxima/tile/spheres/goldsmall: 264 562
:proxima/tile/spheres/goldsmall: 280 562
:proxima/tile/spheres/goldsmall: 296 562
:proxima/tile/spheres/goldsmall: 312 562
:proxima/tile/spheres/goldsmall: 328 562
:matt/underworld/02: 240 576 rrrd
:proxima/tile/spheres/goldsmall: 344 562
:proxima/tile/spheres/goldsmall: 360 562
:proxima/tile/spheres/goldsmall: 376 562
:proxima/tile/spheres/goldsmall: 392 562
:proxima/tile/spheres/goldsmall: 408 562
:proxima/tile/spheres/goldsmall: 424 562
:matt/underworld/02: 336 576 rrrd
:proxima/tile/spheres/goldsmall: 440 562
:proxima/tile/spheres/goldsmall: 456 562
:proxima/tile/spheres/goldsmall: 472 562
:proxima/tile/spheres/goldsmall: 488 562
:proxima/tile/spheres/goldsmall: 504 562
:matt/underworld/02: 432 576 rrrd
:geoo/sandstone/ebony/v16a: 496 608
:geoo/sandstone/ebony/v16c: 482 608
:matt/underworld/02: 528 528 d
:proxima/tile/spheres/goldsmall: 112 384 rrr
:matt/underworld/02: 64 400 d
:proxima/tile/spheres/goldsmall: 128 384 rrr
:matt/underworld/00: 80 384 d
:proxima/tile/spheres/goldsmall: 144 384 rrr
:proxima/tile/spheres/goldsmall: 160 384 rrr
:proxima/tile/spheres/goldsmall: 176 384 rrr
:proxima/tile/spheres/goldsmall: 192 384 rrr
:matt/underworld/00: 144 384 d
:proxima/tile/spheres/goldsmall: 208 384 rrr
:proxima/tile/spheres/goldsmall: 224 384 rrr
:proxima/tile/spheres/goldsmall: 240 384 rrr
:proxima/tile/spheres/goldsmall: 256 384 rrr
:matt/underworld/00: 208 384 d
:proxima/tile/spheres/goldsmall: 272 384 rrr
:proxima/tile/spheres/goldsmall: 288 384 rrr
:proxima/tile/spheres/goldsmall: 304 384 rrr
:proxima/tile/spheres/goldsmall: 320 384 rrr
:geoo/construction/concrete/008v: 287 288 d
:geoo/construction/concrete/008v: 285 304 d
:geoo/construction/concrete/128: 165 263
:matt/underworld/02: 159 258 d
:matt/underworld/00: 272 384 d
:proxima/tile/spheres/goldsmall: 336 384 rrr
:proxima/tile/spheres/goldsmall: 352 384 rrr
:proxima/tile/spheres/goldsmall: 368 384 rrr
:proxima/tile/spheres/goldsmall: 384 384 rrr
:matt/underworld/00: 336 384 d
:proxima/tile/spheres/goldsmall: 400 384 rrr
:proxima/tile/spheres/goldsmall: 416 384 rrr
:proxima/tile/spheres/goldsmall: 432 384 rrr
:proxima/tile/spheres/goldsmall: 448 384 rrr
:matt/underworld/00: 400 384 d
:geoo/construction/pillar_32: 298 268 r
:geoo/construction/pillar_32: 314 267 r
:geoo/construction/pillar_32: 374 268 r
:simon/brick/sphere: 338 245
:geoo/construction/pillar_32: 358 267 r
:geoo/construction/pillar_32: 334 266 r
:geoo/construction/concrete/128: 288 272
:proxima/tile/spheres/goldsmall: 464 384 rrr
:proxima/tile/spheres/goldsmall: 480 384 rrr
:proxima/tile/spheres/goldsmall: 496 384 rrr
:proxima/tile/spheres/goldsmall: 512 384 rrr
:matt/underworld/02: 528 400 d
:matt/underworld/00: 528 384 d
